GEOCODIGO_MUNICIPIO;UF;NOME_MUNICIPIO
1100015;RO;Alta Floresta DÔoeste
1100023;RO;Ariquemes
1100031;RO;Cabixi
1100049;RO;Cacoal
1100056;RO;Cerejeiras
1100064;RO;Colorado do Oeste
1100072;RO;Corumbiara
1100080;RO;Costa Marques
1100098;RO;Espig∆o DÔoeste
1100106;RO;Guajar†-mirim
1100114;RO;Jaru
1100122;RO;Ji-paran†
1100130;RO;Machadinho DÔoeste
1100148;RO;Nova BrasilÉndia DÔoeste
1100155;RO;Ouro Preto do Oeste
1100189;RO;Pimenta Bueno
1100205;RO;Porto Velho
1100254;RO;Presidente MÇdici
1100262;RO;Rio Crespo
1100288;RO;Rolim de Moura
1100296;RO;Santa Luzia DÔoeste
1100304;RO;Vilhena
1100320;RO;S∆o Miguel do GuaporÇ
1100338;RO;Nova MamorÇ
1100346;RO;Alvorada DÔoeste
1100379;RO;Alto Alegre Dos Parecis
1100403;RO;Alto Para°so
1100452;RO;Buritis
1100502;RO;Novo Horizonte do Oeste
1100601;RO;CacaulÉndia
1100700;RO;Campo Novo de Rondìnia
1100809;RO;Candeias do Jamari
1100908;RO;Castanheiras
1100924;RO;Chupinguaia
1100940;RO;Cujubim
1101005;RO;Governador Jorge Teixeira
1101104;RO;Itapu∆ do Oeste
1101203;RO;Ministro Andreazza
1101302;RO;Mirante da Serra
1101401;RO;Monte Negro
1101435;RO;Nova Uni∆o
1101450;RO;Parecis
1101468;RO;Pimenteiras do Oeste
1101476;RO;Primavera de Rondìnia
1101484;RO;S∆o Felipe DÔoeste
1101492;RO;S∆o Francisco do GuaporÇ
1101500;RO;Seringueiras
1101559;RO;Teixeir¢polis
1101609;RO;Theobroma
1101708;RO;Urup†
1101757;RO;Vale do Anari
1101807;RO;Vale do Para°so
1200013;AC;AcrelÉndia
1200054;AC;Assis Brasil
1200104;AC;BrasilÇia
1200138;AC;Bujari
1200179;AC;Capixaba
1200203;AC;Cruzeiro do Sul
1200252;AC;EpitaciolÉndia
1200302;AC;Feij¢
1200328;AC;Jord∆o
1200336;AC;MÉncio Lima
1200344;AC;Manoel Urbano
1200351;AC;Marechal Thaumaturgo
1200385;AC;Pl†cido de Castro
1200393;AC;Porto Walter
1200401;AC;Rio Branco
1200427;AC;Rodrigues Alves
1200435;AC;Santa Rosa do Purus
1200450;AC;Senador Guiomard
1200500;AC;Sena Madureira
1200609;AC;Tarauac†
1200708;AC;Xapuri
1200807;AC;Porto Acre
1300029;AM;Alvar∆es
1300060;AM;Amatur†
1300086;AM;Anam∆
1300102;AM;Anori
1300144;AM;Apu°
1300201;AM;Atalaia do Norte
1300300;AM;Autazes
1300409;AM;Barcelos
1300508;AM;Barreirinha
1300607;AM;Benjamin Constant
1300631;AM;Beruri
1300680;AM;Boa Vista do Ramos
1300706;AM;Boca do Acre
1300805;AM;Borba
1300839;AM;Caapiranga
1300904;AM;Canutama
1301001;AM;Carauari
1301100;AM;Careiro
1301159;AM;Careiro da V†rzea
1301209;AM;Coari
1301308;AM;Codaj†s
1301407;AM;EirunepÇ
1301506;AM;Envira
1301605;AM;Fonte Boa
1301654;AM;Guajar†
1301704;AM;Humait†
1301803;AM;Ipixuna
1301852;AM;Iranduba
1301902;AM;Itacoatiara
1301951;AM;Itamarati
1302009;AM;Itapiranga
1302108;AM;Japur†
1302207;AM;Juru†
1302306;AM;Juta°
1302405;AM;L†brea
1302504;AM;Manacapuru
1302553;AM;Manaquiri
1302603;AM;Manaus
1302702;AM;ManicorÇ
1302801;AM;Mara∆
1302900;AM;MauÇs
1303007;AM;Nhamund†
